Title,Publication Date,Author,Location,Summary,Full Article Content,URL
China’s Answer to ChatGPT Gets an Artificial Debut and Disappoints,2023-03-16T11:21:57+0000,By Chang Che and John Liu,World,"The promised “live” demonstration of the bot had, in fact, been recorded. Shares of Baidu, the company behind the technology, tumbled in Hong Kong.","Almost six years ago, a Google computer program toppled the best player in China — and the world — at Go, an ancient Chinese board game. The defeat catalyzed China’s revolution in artificial intelligence. Beijing unrolled a monumental A.I. plan, and investors poured record sums into new projects.",https://www.nytimes.com/2023/03/16/world/asia/china-baidu-chatgpt-ernie.html
OpenAI Gives ChatGPT a Better ‘Memory’,2024-02-13T18:15:08+0000,By Cade Metz,Technology,The A.I. start-up is releasing a new version of ChatGPT that stores what users say and applies it to future chats.,OpenAI is giving ChatGPT a better memory.,https://www.nytimes.com/2024/02/13/technology/openai-gives-chatgpt-a-better-memory.html
ChatGPT vs. Me: Who Will Write a Better Beach Read?,2024-07-09T09:02:32+0000,By Curtis Sittenfeld,Opinion,A fiction writer challenges an A.I. chatbot to a duel.,What makes a beach read a beach read? Is it an escapist subject matter? A frothy tone? Or is any book you read on a beach automatically a beach read?,https://www.nytimes.com/2024/07/09/opinion/chatgpt-beach-read.html
"OpenAI Unveils New ChatGPT That Listens, Looks and Talks",2024-05-13T19:05:34+0000,By Cade Metz,Technology,"Chatbots, image generators and voice assistants are gradually merging into a single technology with a conversational voice.","As Apple and Google transform their voice assistants into chatbots, OpenAI is transforming its chatbot into a voice assistant.",https://www.nytimes.com/2024/05/13/technology/openai-chatgpt-app.html
Quiz: How Does ChatGPT Really Work?,2023-03-28T15:03:38+0000,By The New York Times,Technology,"You read <a href=""https://www.nytimes.com/2023/03/28/technology/ai-chatbots-chatgpt-bing-bard-llm.html"">Part 2 of our weeklong series on artificial intelligence.</a> Now test your knowledge.","You read <a href=""https://www.nytimes.com/2023/03/28/technology/ai-chatbots-chatgpt-bing-bard-llm.html"">Part 2 of our weeklong series on artificial intelligence.</a> Now test your knowledge.",https://www.nytimes.com/interactive/2023/03/28/technology/quiz-ai-chatbots-chatgpt-llm.html
I’m a Doctor. ChatGPT’s Bedside Manner Is Better Than Mine.,2024-10-05T11:01:34+0000,By Jonathan Reisman,Opinion,My job is no longer safe.,"As a young, idealistic medical student in the 2000s, I thought my future job as a doctor would always be safe from artificial intelligence.",https://www.nytimes.com/2024/10/05/opinion/ai-chatgpt-medicine-doctor.html
"A New ‘M*A*S*H’ Scene: Written by ChatGPT, Read by Hawkeye and B.J.",2023-03-07T23:31:36+0000,By Julia Jacobs,Arts,"Alan Alda, the star of the long-running sitcom, asked the artificial intelligence software to create a script for him and his former co-star Mike Farrell to read.","For the first time in more than 40 years, Alan Alda and Mike Farrell sat down for a table read of a new scene of “M*A*S*H,” stepping into their old roles of Hawkeye Pierce and B.J. Hunnicutt, two bantering doctors in a Korean War mobile surgical unit.",https://www.nytimes.com/2023/03/07/arts/television/mash-chatgpt-alan-alda.html
Lesson Plan: Teaching and Learning in the Era of ChatGPT,2023-01-25T02:49:59+0000,By Katherine Schulten,The Learning Network,"First students learn about and share their thoughts on the issues A.I. chatbots raise for schools. Then, we invite them to help design both ethical guidelines and curriculum projects that use the tool for learning.","Featured Article: “Alarmed by A.I. Chatbots, Universities Start Revamping How They Teach” by Kalley Huang",https://www.nytimes.com/2023/01/24/learning/lesson-plans/lesson-plan-teaching-and-learning-in-the-era-of-chatgpt.html
ChatGPT Made a Guest Appearance at the Marc Jacobs Three-Minute Fashion Show,2023-06-27T14:23:40+0000,By Vanessa Friedman,Style,"So much to think about, so little time.","When did Marc Jacobs, erstwhile downtown darling turned New York fashion éminence grise, become a philosopher of the modern condition?",https://www.nytimes.com/2023/06/27/style/marc-jacobs-show.html
OpenAI Introduces ChatGPT App for the iPhone,2023-05-18T17:07:04+0000,By Cade Metz,Technology,OpenAI is aiming to build on the popularity of its chatbot with a smartphone app that responds to voice prompts.,"Since ChatGPT debuted in November, hundreds of millions of people have experimented with the online chatbot, which can answer questions, write poetry, draft emails and riff on almost any topic from inside a web browser.",https://www.nytimes.com/2023/05/18/technology/openai-chatgpt-iphone.html
How Should I Use A.I. Chatbots Like ChatGPT?,2023-03-30T15:25:14+0000,By Kevin Roose,Technology,Large language models are already good at a wide variety of tasks.,"In today’s newsletter, the fourth in our five-part series, I’m going to try to convince you that large language models are already good at a wide variety of tasks — and they’re getting smarter every day.",https://www.nytimes.com/2023/03/30/technology/ai-chatbot-chatgpt-uses-work-life.html
TikTok’s Spying Scandal and ChatGPT’s Challenge to Google,2023-01-06T10:00:12+0000,"By Kevin Roose, Casey Newton, Davis Land, Paula Szuchman, Alyssa Moxley, Dan Powell, Elisheba Ittoop, Marion Lozano and Rowan Niemisto",Podcasts,TikTok skeptics now have a smoking gun.,"Calls to ban TikTok or force its sell-off from its parent company ByteDance are gaining momentum, especially after reports of ByteDance’s surveillance of several U.S. journalists. And could Microsoft’s investment in OpenAI mark the end of Google’s search monopoly?",https://www.nytimes.com/2023/01/06/podcasts/hard-fork-tiktok-microsoft-chatgpt.html
"Weekly Student News Quiz: Canada, Fortnite, ChatGPT",2023-09-26T12:34:51+0000,Compiled by Katherine Schulten,The Learning Network,Have you been paying attention to the news recently? See how many of these 10 questions you can get right.,Have you been paying attention to the news recently? See how many of these 10 questions you can get right.,https://www.nytimes.com/interactive/2023/09/26/learning/26StudentNewsQuiz.html
OpenAI’s Fund-Raising Talks Could Value Company at $150 Billion,2024-09-11T21:42:15+0000,"By Cade Metz, Mike Isaac, Tripp Mickle and Michael J. de la Merced",Technology,The San Francisco start-up hopes to raise $6.5 billion as part of an aggressive push for more investment.,"OpenAI is in talks to raise about $6.5 billion as part of a deal that would value the company in the vicinity of $150 billion, a nearly $70 billion increase from its valuation nine months ago, according to five people with knowledge of the conversations.",https://www.nytimes.com/2024/09/11/technology/openai-fund-raising-valuation.html
Dr. Chatbot Will See You Now,2024-09-11T16:57:12+0000,By Teddy Rosenbluth,Health,"Americans are already turning to A.I. for health information in large numbers, new research suggests.","Susan Sheridan had heard of ChatGPT but had never used it, so the first question she asked the artificial intelligence chatbot was a bit garbled: “Facial droop, facial pain and dental work.”",https://www.nytimes.com/2024/09/11/health/chatbots-health-diagnosis-treatments.html
Does ChatGPT Mean Robots Are Coming For the Skilled Jobs?,2022-12-06T20:24:15+0000,By Paul Krugman,Opinion,How A.I. will affect the demand for knowledge workers.,Will robots take away our jobs?,https://www.nytimes.com/2022/12/06/opinion/chatgpt-ai-skilled-jobs-automation.html
ChatGPT Is Helping Siri in iOS 18.2. And It’s Actually Useful.,2024-12-11T00:00:00+0000,,,"If you’ve used an iPhone for any amount of time, you may have struggled with its built-in voice assistant, Siri. When Apple introduced Siri in the iPhone 4s, I excitedly tried to use the assistant to dictate and send a text message while crossing a frigid Manhattan park midwinter. But when Siri misunderstood me, I...","If you’ve used an iPhone for any amount of time, you may have struggled with its built-in voice assistant, Siri. When Apple introduced Siri in the iPhone 4s, I excitedly tried to use the assistant to dictate and send a text message while crossing a frigid Manhattan park midwinter. But when Siri misunderstood me, I...",https://www.nytimes.com/wirecutter/reviews/ios-18-2-review-chatgpt-siri/
ChatGPT Is Already Changing How I Do My Job,2023-04-21T09:00:19+0000,By Farhad Manjoo,Opinion,Journalists may have a new semi-reliable source.,"Once you start using ChatGPT you pretty much can’t stop. You begin with trivial, gimmicky prompts: Do this math problem. Tell me some vegetarian recipes with broccoli and peas. What came first, the jock or the jockstrap?",https://www.nytimes.com/2023/04/21/opinion/chatgpt-journalism.html
"Racing to Catch Up With ChatGPT, Google Plans Release of Its Own Chatbot",2023-02-06T20:08:22+0000,By Cade Metz and Nico Grant,Technology,"The internet giant said it would begin testing its new chatbot, Bard, with a small, private group before releasing it to the public in the coming weeks.","Google said on Monday that it would soon release an experimental chatbot called Bard as it races to respond to ChatGPT, which has wowed millions of people since it was unveiled at the end of November.",https://www.nytimes.com/2023/02/06/technology/google-bard-ai-chatbot.html
Help! My Boss Won’t Stop Using ChatGPT,2023-07-14T09:00:06+0000,"By Kevin Roose, Casey Newton, Davis Land, Rachel Cohn, Jen Poyant, Alyssa Moxley, Dan Powell, Marion Lozano and Rowan Niemisto",Podcasts,Kevin and Casey answer your questions.,"This week, we answer more of your questions, like: What is ChatGPT’s carbon footprint? Why are engineers so sure artificial intelligence will keep getting better? And, why are there so many venture capital bros?",https://www.nytimes.com/2023/07/14/podcasts/hard-fork-mailbag.html
Are You Using ChatGPT at Work? We Want to Hear About It.,2023-12-13T10:03:39+0000,By Emma Goldberg,Business Day,"Just over a year since ChatGPT’s release, we’re exploring how workers have begun using A.I. chatbots in their jobs.","As soon as ChatGPT and other artificial intelligence chatbots became widely available, workers began exploring how they could use the tools for their jobs — and how it might affect their jobs in the long term. Now the world has had just over a year to experiment.",https://www.nytimes.com/2023/12/13/business/are-you-using-chatgpt-at-work-we-want-to-hear-about-it.html
One Year In and ChatGPT Already Has Us Doing Its Bidding,2023-12-19T10:01:52+0000,By Vauhini Vara,Opinion,"For me, the journey began when I asked ChatGPT who I was.","One of the first things I asked ChatGPT about, early this year, was myself: “What can you tell me about the writer Vauhini Vara?” It told me I’m a journalist (true, though I’m also a fiction writer), that I was born in California (false) and that I’d won a Gerald Loeb Award and a National Magazine Award (false, false).",https://www.nytimes.com/2023/12/19/opinion/artificial-intelligence-chatgpt.html
What to Know About ChatGPT’s New Code Interpreter Feature,2023-07-11T15:52:25+0000,By Yiwen Lu,Technology,"Graphs, maps and data analyses? Now ChatGPT can do even more.","ChatGPT, the artificial-intelligence-powered chatbot made by OpenAI, has wowed the world in recent months with the text it can generate. Now the chatbot is delighting users anew by creating charts and maps and turning images into videos.",https://www.nytimes.com/2023/07/11/technology/what-to-know-chatgpt-code-interpreter.html
I Finally Figured Out Who ChatGPT Reminds Me Of,2024-01-07T14:00:29+0000,By Elizabeth Spiers,Opinion,Generative A.I. is often described as being in its infancy. The truth is a little more of a handful.,"As the mother of an 8-year-old, and as someone who’s spent the past year experimenting with generative A.I., I’ve thought a lot about the connection between interacting with one and with the other. I’m not alone in this. A paper published in August in the journal Nature Human Behaviour explained how, during its early stages, an artificial intelligence model will try lots of things randomly, narrowing its focus and getting more conservative in its choices as it gets more sophisticated. Kind of like what a child does. “A.I. programs do best if they start out like weird kids,” writes Alison Gopnik, a developmental psychologist.",https://www.nytimes.com/2024/01/07/opinion/chatgpt-generative-ai.html
Can I Use ChatGPT for the Tedious Parts of My Job?,2023-07-07T18:43:25+0000,By Kwame Anthony Appiah,Magazine,The magazine’s Ethicist columnist on using artificial intelligence to assist with mundane tasks at work.,"I’m a writer and a college professor at a small college, and I recently became chair of the English department. I usually love to write, but when it comes to administrative documents, I struggle — and this new role asks for a lot of them.",https://www.nytimes.com/2023/07/07/magazine/artificial-intelligence-workplace-ethics.html
Microsoft Bets Big on the Creator of ChatGPT in Race to Dominate A.I.,2023-01-12T23:16:03+0000,By Cade Metz and Karen Weise,Technology,"As a new chatbot wows the world with its conversational talents, a resurgent tech giant is poised to reap the benefits while doubling down on a relationship with the start-up OpenAI.","When a chatbot called ChatGPT hit the internet late last year, executives at a number of Silicon Valley companies worried they were suddenly dealing with new artificial intelligence technology that could disrupt their businesses.",https://www.nytimes.com/2023/01/12/technology/microsoft-openai-chatgpt.html
"Is A.I. Poisoning Itself?, Billionaire Cage Fight and Cooking With ChatGPT",2023-06-30T09:00:34+0000,"By Kevin Roose, Casey Newton, Davis Land, Rachel Cohn, Jen Poyant, Alyssa Moxley, Dan Powell, Elisheba Ittoop, Marion Lozano, Sophia Lanman and Rowan Niemisto",Podcasts,The missing ingredient in A.I. content might soon be human-generated content.,"Whether it’s on TikTok or Twitter, A.I.-generated content is already flooding the web. So, what happens when the technology — prone to confidently making things up — starts ingesting itself?",https://www.nytimes.com/2023/06/30/podcasts/hard-fork-ai-poison.html
"A Trip to TikTok, ChatGPT’s Origin Story and Kevin Systrom’s Comeback",2023-02-03T10:00:10+0000,"By Kevin Roose, Casey Newton, Davis Land, Paula Szuchman, Alyssa Moxley, Dan Powell, Elisheba Ittoop, Marion Lozano, Sophia Lanman and Rowan Niemisto",Podcasts,"Casey becomes a content moderator, Kevin breaks some news on OpenAI and Instagram’s co-founder reveals his new project.","TikTok is opening up a “Transparency and Accountability Center” to try to win over skeptics. Is the company’s strategy working? Then, the origin story of OpenAI’s ChatGPT and how the company kicked off an A.I. arms race.",https://www.nytimes.com/2023/02/03/podcasts/hard-fork-tiktok-openai-artifact.html
How Strangers Got My Email Address From ChatGPT’s Model,2023-12-22T21:07:44+0000,By Jeremy White,Technology,Researchers at Indiana University used ChatGPT’s model to extract contact information for more than 30 New York Times employees.,Researchers at Indiana University used ChatGPT’s model to extract contact information for more than 30 New York Times employees.,https://www.nytimes.com/interactive/2023/12/22/technology/openai-chatgpt-privacy-exploit.html
Quiz: How Should I Use A.I. Chatbots Like ChatGPT?,2023-03-30T15:02:06+0000,By The New York Times,Technology,"You read <a href=""https://www.nytimes.com/2023/03/30/technology/ai-chatbot-chatgpt-uses-work-life.html"">Part 4 of our weeklong series on artificial intelligence.</a> Now test your knowledge.","You read <a href=""https://www.nytimes.com/2023/03/30/technology/ai-chatbot-chatgpt-uses-work-life.html"">Part 4 of our weeklong series on artificial intelligence.</a> Now test your knowledge.",https://www.nytimes.com/interactive/2023/03/30/technology/quiz-ai-chatbot-chatgpt-uses.html
Can ChatGPT Plan Your Vacation? Here’s What to Know About A.I. and Travel.,2023-03-16T09:00:12+0000,By Julie Weed,Travel,"Powerful new artificial-intelligence software is already shaking up the travel industry, but it has a long way to go until it can plan a seamless trip. For now.","One day soon, in the artificial-intelligence-powered future, a vacation might start by telling your smartphone something like this: “I want to take a four-day trip to Los Angeles in June, whenever airfares and hotel rates are best, using loyalty rewards points. I want to hit a history museum and an amusement park — and then I’d like 7 p.m. dinner reservations near the hotel at a restaurant with vegan options and a great wine list.” And your phone spits out the perfect itinerary.",https://www.nytimes.com/2023/03/16/travel/chatgpt-artificial-intelligence-travel-vacation.html
"Google C.E.O. Sundar Pichai on Bard, A.I. ‘Whiplash’ and Competing With ChatGPT",2023-03-31T09:00:12+0000,"By Kevin Roose, Casey Newton, Davis Land, Rachel Cohn, Jen Poyant, Alyssa Moxley, Dan Powell, Marion Lozano and Rowan Niemisto",Podcasts,“Am I concerned? Yes. Am I optimistic and excited about all the potential of this technology? Incredibly.”,"For years, Google was seen as one of the most cutting-edge developers of A.I. But, with OpenAI’s release of ChatGPT, and other chatbots beating Google to market, is that distinction still the case? Google’s chief executive is in an unenviable position: Scramble to catch up or, in the face of potentially harmful technology, move slowly.",https://www.nytimes.com/2023/03/31/podcasts/hard-fork-sundar.html
All Seal Needs Is Love,2023-04-17T09:00:19+0000,By Jeremy Gordon,Arts,"Embarking on a tour celebrating his music career’s 30th anniversary, the singer and songwriter explained how tennis, Joni Mitchell and ChatGPT have inspired him.","The singer and songwriter Seal is one of modern music’s most ardent believers in the power of love, but that doesn’t mean you should look to him for romantic advice. “You’re headed for disaster if you ask me,” he joked, before immediately providing what sounded like a practical perspective on how to make a relationship work. “I’ve found that it’s most productive when both parties see themselves, and then there’s this third entity which is like a plant. That plant needs water every day, and you love that plant because you — both as an entity, and as individuals — are all that it has.”",https://www.nytimes.com/2023/04/17/arts/music/seal-30-anniversary-tour.html
Should Students Let ChatGPT Help Them Write Their College Essays?,2023-09-27T20:39:50+0000,By Katherine Schulten,The Learning Network,"If so, how? Tell us what you are thinking, and what practical and ethical questions these new A.I. tools raise for you.",Teachers: We also have a lesson plan that accompanies this Student Opinion forum.,https://www.nytimes.com/2023/09/27/learning/should-students-let-chatgpt-help-them-write-their-college-essays.html
Kara Walker: A Fortuneteller in the Land of ChatGPT,2024-09-26T09:01:40+0000,By Karen Rosenberg,Arts,The artist’s dystopian installation at SFMOMA shows her evolution as a public artist. In her carnival sideshow she casts a wary eye on tech’s future.,"In artworks exploring unequal power dynamics across a wide swath of history, Kara Walker has long called attention to the most inhuman tendencies of people. Now, in a new installation in the country’s tech capital, she is highlighting the superhuman capabilities of A.I. as only she can.",https://www.nytimes.com/2024/09/26/arts/design/kara-walker-sfmoma-art-review-fortuna.html
Are You Using ChatGPT in Your School or University? We Want to Hear About It.,2023-08-18T20:26:37+0000,By Natasha Singer,New York,We’re asking educators and students how they are using new A.I. chatbots for teaching and coursework.,New chatbots powered by artificial intelligence upended public schools and universities across the United States last winter. Some colleges and districts raced to block student access to the A.I. tools over fears they could enable widespread cheating. ,https://www.nytimes.com/2023/08/18/nyregion/are-you-using-chatgpt-in-your-school-or-university-we-want-to-hear-about-it.html
"ChatGPT Can Now Generate Images, Too",2023-09-20T17:09:26+0000,By Cade Metz and Tiffany Hsu,Technology,OpenAI released a new version of its DALL-E image generator to a small group of testers and incorporated the technology into its popular ChatGPT chatbot.,ChatGPT can now generate images — and they are shockingly detailed.,https://www.nytimes.com/2023/09/20/technology/chatgpt-dalle3-images-openai.html
How to Use ChatGPT and Still Be a Good Person,2022-12-21T10:00:20+0000,By Brian X. Chen,Technology,"It’s a turning point for artificial intelligence, and we need to take advantage of these tools without causing harm to ourselves or others.",The past few weeks have felt like a honeymoon phase for our relationship with tools powered by artificial intelligence.,https://www.nytimes.com/2022/12/21/technology/personaltech/how-to-use-chatgpt-ethically.html
